Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2026091605012016,AHL,49,58,10,377.8,3778.0
2026091605012368,BEDC,58,11,10,304.0,3040.0
2026091605012247,BEDC,33,11,50,304.0,15200.0
2026091605012182,BEDC,58,50,250,302.5,75625.0
2026091605012006,BEDC,14,11,50,304.0,15200.0
2026091605012005,BEDC,14,90,200,304.0,60800.0
2026091605012228,BHDC,45,39,10,429.0,4290.0
2026091605012194,BHDC,36,62,100,428.1,42810.0
2026091605011964,BHDC,58,62,100,430.0,43000.0
2026091605012402,BHL,74,57,90,216.1,19449.0
2026091605012401,BHL,17,57,100,216.5,21650.0
2026091605012146,BHL,17,36,200,216.5,43300.0
2026091605012134,BHL,44,57,10,216.9,2169.0
2026091605012030,BHL,74,48,400,216.1,86440.0
2026091605012029,BHL,26,48,100,216.2,21620.0
2026091605012017,BHL,42,48,3,216.0,648.0
2026091605011991,BHL,74,58,10,216.1,2161.0
2026091605011966,BHL,74,6,500,216.1,108050.0
2026091605012120,BHPL,56,59,10,459.0,4590.0
2026091605011938,BHPL,45,19,161,450.2,72482.2
2026091605011937,BHPL,49,19,500,450.3,225150.0
2026091605011936,BHPL,28,19,100,452.1,45210.0
2026091605012313,CHDC,49,49,205,2368.0,485440.0
2026091605012312,CHDC,49,19,200,2368.0,473600.0
2026091605012311,CHDC,49,50,75,2368.0,177600.0
2026091605012310,CHDC,49,50,100,2368.0,236800.0
2026091605012309,CHDC,49,60,10,2367.9,23679.0
2026091605012308,CHDC,49,33,10,2360.0,23600.0
2026091605012083,CHDC,86,50,10,2368.0,23680.0
2026091605012152,CIT,51,17,116,1730.0,200680.0
2026091605012348,CKHL,82,38,20,599.3,11986.0
2026091605012347,CKHL,82,58,10,599.3,5993.0
2026091605012151,CKHL,45,16,10,599.0,5990.0
2026091605011965,CKHL,45,49,10,585.0,5850.0
2026091605012340,CLI,45,58,13,428.0,5564.0
2026091605012243,CLI,45,22,64,428.0,27392.0
2026091605012082,CLI,58,42,34,428.1,14555.4
2026091605011941,CLI,36,42,917,428.1,392567.7
2026091605012432,DOLTI,35,57,10,306.0,3060.0
2026091605012403,DOLTI,58,17,10,303.0,3030.0
2026091605012285,DOLTI,62,57,627,306.0,191862.0
2026091605012284,DOLTI,62,71,173,305.9,52920.7
2026091605012162,DOLTI,81,71,172,305.9,52614.8
2026091605012061,DOLTI,81,48,200,305.0,61000.0
2026091605012054,DOLTI,81,42,160,303.9,48624.0
2026091605012053,DOLTI,81,58,300,303.0,90900.0
2026091605011974,DOLTI,13,17,10,302.0,3020.0
2026091605012060,DOLTI,81,45,100,305.0,30500.0
2026091605012059,DOLTI,81,35,10,304.9,3049.0
2026091605012058,DOLTI,81,34,250,304.8,76200.0
2026091605012057,DOLTI,81,41,50,304.8,15240.0
2026091605012056,DOLTI,81,41,50,304.0,15200.0
2026091605012055,DOLTI,81,42,208,304.0,63232.0
2026091605012346,DORDI,32,34,67,255.6,17125.2
2026091605012345,DORDI,32,45,490,254.8,124852.0
2026091605012344,DORDI,32,25,40,254.7,10188.0
2026091605012343,DORDI,32,57,103,254.7,26234.1
